baseline,candidate_count,candidate_amplification,delta,layer_pairs,requests,forecasts_per_request,bootstrap_resamples,confidence_level,selection_coverage,selection_coverage_ci_low,selection_coverage_ci_high,routed_mass_coverage,routed_mass_coverage_ci_low,routed_mass_coverage_ci_high,complete_route_coverage,complete_route_coverage_ci_low,complete_route_coverage_ci_high
transition,8,2.0,5,19,64,304,5000,0.95,0.828638980263158,0.8219948216488487,0.8347685161389802,0.8494620798155665,0.84287306771148,0.8555552192497998,0.5409128289473684,0.5314555921052632,0.5498560855263158
transition,8,2.0,6,18,64,288,5000,0.95,0.8329942491319444,0.8262939453125,0.8392337375217015,0.8527963943779469,0.845994915952906,0.8592556804185733,0.5608723958333334,0.5513224283854167,0.5699869791666666
transition,8,2.0,7,17,64,272,5000,0.95,0.8281393612132353,0.8212172564338236,0.8344873764935663,0.8468419266864657,0.8399549301248044,0.8534754414111376,0.5476217830882353,0.5376838235294118,0.5571605009191177
transition,8,2.0,8,16,64,256,5000,0.95,0.822509765625,0.8152156829833984,0.8293003082275391,0.8410227298736572,0.8338009521365166,0.8478657759726047,0.5408935546875,0.531982421875,0.549560546875
transition,8,2.0,9,15,64,240,5000,0.95,0.8185709635416667,0.8106929524739585,0.8261067708333334,0.8368018828332424,0.8287118187872693,0.844699016935192,0.5374348958333334,0.5274739583333333,0.546484375
transition,8,2.0,10,14,64,224,5000,0.95,0.8082275390625,0.7993338448660714,0.8164764404296874,0.825356244109571,0.8165251073194668,0.8338173258118331,0.5281808035714286,0.51708984375,0.5390625
transition,8,2.0,11,13,64,208,5000,0.95,0.8067908653846154,0.7967792217548078,0.8160494290865384,0.827112527564168,0.8171118138823659,0.8363363477634266,0.5219350961538461,0.5099158653846154,0.5331280048076923
transition,8,2.0,12,12,64,192,5000,0.95,0.8065999348958333,0.7960611979166667,0.8165496826171874,0.8249163292348385,0.8142615077551454,0.8351495092269033,0.5281575520833334,0.5157063802083334,0.54052734375
transition,8,2.0,13,11,64,176,5000,0.95,0.8124112215909091,0.8005149147727273,0.8230213512073863,0.8321394929662347,0.8204324153484777,0.8424780641682446,0.5459872159090909,0.5321377840909092,0.5592151988636364
transition,8,2.0,14,10,64,160,5000,0.95,0.8133056640625,0.8019525146484374,0.82392578125,0.8329286575317383,0.8215466323075816,0.8432868293486535,0.54091796875,0.52685546875,0.5543945312499999
transition,8,2.0,15,9,64,144,5000,0.95,0.8150499131944444,0.8027608235677083,0.8260091145833333,0.8342893933877349,0.8219320791773498,0.8456425617681816,0.5225694444444444,0.5077039930555556,0.5366753472222222
transition,8,2.0,16,8,64,128,5000,0.95,0.812164306640625,0.798797607421875,0.8243721008300782,0.8317456245422363,0.8177497491240502,0.8440748199820518,0.53515625,0.52001953125,0.549560546875
transition,8,2.0,17,7,64,112,5000,0.95,0.8101283482142858,0.7966299874441964,0.8225803920200894,0.8288140324875712,0.8154125937726349,0.8409369186498225,0.5226004464285714,0.5066929408482144,0.5379464285714286
transition,8,2.0,18,6,64,96,5000,0.95,0.8117268880208334,0.7967936197916667,0.8254801432291666,0.8349304981529713,0.8199246224947274,0.8483339589554817,0.5362955729166666,0.51708984375,0.5540364583333333
transition,8,2.0,19,5,64,80,5000,0.95,0.801220703125,0.78486328125,0.816015625,0.8233166709542274,0.8067543141543865,0.837257435102947,0.5072265625,0.4875,0.5259765625
transition,8,2.0,20,4,64,64,5000,0.95,0.81689453125,0.801025390625,0.8313613891601562,0.8367117643356323,0.8206102401018143,0.8510675370693207,0.551025390625,0.531488037109375,0.570068359375
transition,8,2.0,21,3,64,48,5000,0.95,0.814453125,0.7969563802083333,0.8306477864583333,0.8351995134726167,0.8178467282094062,0.8509151063626632,0.548828125,0.5270182291666667,0.5699869791666667
transition,8,2.0,22,2,64,32,5000,0.95,0.808349609375,0.7884521484375,0.8258056640625,0.8319046497344971,0.8128717005252838,0.8494248688220978,0.52490234375,0.49951171875,0.55029296875
transition,8,2.0,23,1,64,16,5000,0.95,0.780517578125,0.761956787109375,0.796875,0.8091115951538086,0.7903598308563232,0.8270928025245666,0.4677734375,0.44140625,0.49609375
