train_checkpoint,eval_checkpoint,phase,domain,source_layer,target_layer,delta,capacity,n_tokens,routing_top_k,selection_coverage,complete_token_coverage,candidate_amplification,useful_amplification,mean_candidate_replacement_fraction,mean_candidate_jaccard
instruct,instruct,prefill,code,0,10,10,8,1033,8,0.484027105517909,0.006776379477250726,1.0,2.066,0.30414244186046513,0.5578643148410619
instruct,instruct,prefill,code,0,10,10,16,1033,8,0.6677153920619555,0.16263310745401743,2.0,2.9952881478796667,0.27537548449612403,0.5839675965818233
instruct,instruct,prefill,code,0,10,10,32,1033,8,0.846079380445305,0.43368828654404645,4.0,4.727688787185355,0.17796148255813954,0.7052110210337088
instruct,instruct,prefill,code,0,11,11,8,1033,8,0.5318247821878025,0.026137463697967087,1.0,1.8803185437997725,0.18132267441860464,0.7105277582021852
instruct,instruct,prefill,code,0,11,11,16,1033,8,0.7445546950629235,0.20716360116166505,2.0,2.6861693482853894,0.24878875968992248,0.6145490101127219
instruct,instruct,prefill,code,0,11,11,32,1033,8,0.8874636979670861,0.5091965150048403,4.0,4.507226615762203,0.1397468507751938,0.7595428589182331
instruct,instruct,prefill,code,0,12,12,8,1033,8,0.5249273959341723,0.011616650532429816,1.0,1.9050253573075149,0.28306686046511625,0.582366599808464
instruct,instruct,prefill,code,0,12,12,16,1033,8,0.7354791868344628,0.23039690222652467,2.0,2.7193155643303717,0.20167151162790697,0.6795631328641235
instruct,instruct,prefill,code,0,12,12,32,1033,8,0.8684656340755083,0.5256534365924492,4.0,4.605824160512749,0.12487887596899225,0.7830368986576559
instruct,instruct,prefill,code,0,13,13,8,1033,8,0.5533639883833494,0.000968054211035818,1.0,1.8071287994751803,0.18507751937984496,0.7084921968642988
instruct,instruct,prefill,code,0,13,13,16,1033,8,0.7477008712487899,0.18393030009680542,2.0,2.674866483249717,0.1582485465116279,0.7335754041240474
instruct,instruct,prefill,code,0,13,13,32,1033,8,0.8877057115198451,0.5237173281703775,4.0,4.505997818974918,0.1369609980620155,0.7624961845068629
instruct,instruct,prefill,code,0,14,14,8,1033,8,0.5568731848983544,0.002904162633107454,1.0,1.7957409821816601,0.3070494186046512,0.5592866651006219
instruct,instruct,prefill,code,0,14,14,16,1033,8,0.7221684414327202,0.1819941916747338,2.0,2.7694369973190347,0.272953003875969,0.5875445489813245
instruct,instruct,prefill,code,0,14,14,32,1033,8,0.861810261374637,0.4394966118102614,4.0,4.641392867172143,0.14465237403100775,0.7524080717029228
instruct,instruct,prefill,code,0,15,15,8,1033,8,0.5292836398838335,0.00484027105517909,1.0,1.8893461362597166,0.20554748062015504,0.6737569493383542
instruct,instruct,prefill,code,0,15,15,16,1033,8,0.7031703775411423,0.1393998063891578,2.0,2.844260884529341,0.24212693798449614,0.6197929949178557
instruct,instruct,prefill,code,0,15,15,32,1033,8,0.861810261374637,0.4453049370764763,4.0,4.641392867172143,0.1555232558139535,0.7365111322559498
instruct,instruct,prefill,code,1,2,1,8,1033,8,0.5435624394966118,0.000968054211035818,1.0,1.8397150489759573,0.27919089147286824,0.5890577553368301
instruct,instruct,prefill,code,1,2,1,16,1033,8,0.7288238141335914,0.16747337850919652,2.0,2.7441474348331396,0.28924418604651164,0.5720069453509536
instruct,instruct,prefill,code,1,2,1,32,1033,8,0.8719748305905131,0.37850919651500486,4.0,4.587288370802109,0.20391230620155038,0.6685278727144096
instruct,instruct,prefill,code,1,3,2,8,1033,8,0.5067763794772507,0.000968054211035818,1.0,1.9732569245463227,0.3069282945736434,0.5547528698691513
