checkpoint,phase,domain,source_layer,target_layer,delta,capacity,transition_selection_coverage,static_selection_coverage,selection_gain_over_static,transition_complete_coverage,static_complete_coverage,complete_gain_over_static
base,prefill,__domain_balanced__,0,8,8,32,0.8058000187645283,0.6861167275116251,0.1196832912529032,0.3210748976532533,0.09727887640258372,0.22379602125066958
base,prefill,__domain_balanced__,0,9,9,8,0.3574790001818054,0.21282937556461584,0.14464962461718955,0.000968054211035818,0.0,0.000968054211035818
base,prefill,__domain_balanced__,0,9,9,16,0.5753098836799329,0.3598838789593919,0.21542600472054102,0.08274951320557385,0.008470474346563407,0.07427903885901044
base,prefill,__domain_balanced__,0,9,9,32,0.8142154851158969,0.6422205139591317,0.17199497115676518,0.3458941928636567,0.07424697322411855,0.27164721963953814
base,prefill,__domain_balanced__,0,10,10,8,0.35478479922629813,0.19012196534104256,0.1646628338852556,0.0031461761858664087,0.0,0.0031461761858664087
base,prefill,__domain_balanced__,0,10,10,16,0.5428504960018946,0.3536596584995771,0.18919083750231747,0.05467757746773211,0.0016940948693126815,0.052983482598419424
base,prefill,__domain_balanced__,0,10,10,32,0.7788923152042995,0.6427555569959585,0.1361367582083409,0.2747914261704612,0.05884381681731319,0.21594760935314802
base,prefill,__domain_balanced__,0,11,11,8,0.34003170452962883,0.23662771167008256,0.1034039928595463,0.0053247671792100975,0.0,0.0053247671792100975
base,prefill,__domain_balanced__,0,11,11,16,0.5572532104584595,0.3848245860177458,0.17242862444071377,0.0708768050528405,0.0006506937721845757,0.07022611128065592
base,prefill,__domain_balanced__,0,11,11,32,0.7686350027076962,0.6622102264903545,0.10642477621734164,0.2414979755690418,0.12501483619859305,0.11648313937044873
base,prefill,__domain_balanced__,0,12,12,8,0.34507120666471697,0.21126454423846786,0.1338066624262491,0.0031461761858664087,0.0,0.0031461761858664087
base,prefill,__domain_balanced__,0,12,12,16,0.5402869328616999,0.3759684682385208,0.16431846462317912,0.06273542962906833,0.011148596321393998,0.05158683330767434
base,prefill,__domain_balanced__,0,12,12,32,0.76484861031909,0.6652698970019303,0.09957871331715973,0.28836952317612763,0.16779959686065166,0.12056992631547597
